crank	name	surname	country	dob
1	Angelique	Kerber	Germany	18-Jan-1988
2	Serena	Williams	United states	26-Sep-1981
3	Agnieszka	Radwanska	Poland	06-Mar-1989
4	Simona	Halep	Romania	27-Sep-1991
5	Dominika	Cibulkova	Slovakia	06-May-1989
6	Karolina	Pliskova	Czech republic	21-Mar-1992
7	Garbiñe	Muguruza	Spain	08-Oct-1993
8	Madison	Keys	United states	17-Feb-1995
9	Svetlana	Kuznetsova	Russia	27-Jun-1985
10	Johanna	Konta	United kingdom	17-May-1991
11	Petra	Kvitova	Czech republic	08-Mar-1990
12	Carla	Suárez navarro	Spain	03-Sep-1988
13	Victoria	Azarenka	Belarus	31-Jul-1989
14	Elina	Svitolina	Ukraine	12-Sep-1994
15	Timea	Bacsinszky	Switzerland	08-Jun-1989
16	Elena	Vesnina	Russia	01-Aug-1986
17	Venus	Williams	United states	17-Jun-1980
18	Roberta	Vinci	Italy	18-Feb-1983
19	Caroline	Wozniacki	Denmark	11-Jul-1990
20	Barbora	Strycova	Czech republic	28-Mar-1986
21	Samantha	Stosur	Australia	30-Mar-1984
22	Kiki	Bertens	Netherlands	10-Dec-1991
23	Shuai	Zhang	China	21-Jan-1989
24	Caroline	Garcia	France	16-Oct-1993
25	Daria	Gavrilova	Australia	05-Mar-1994
26	Daria	Kasatkina	Russia	07-May-1997
27	Anastasia	Pavlyuchenkova	Russia	03-Jul-1991
28	Timea	Babos	Hungary	10-May-1993
29	Irina-camelia	Begu	Romania	26-Aug-1990
30	Ekaterina	Makarova	Russia	07-Jun-1988
31	Laura	Siegemund	Germany	04-Mar-1988
32	Monica	Puig	Puerto rico	27-Sep-1993
33	Yulia	Putintseva	Kazakhstan	07-Jan-1995
34	Anastasija	Sevastova	Latvia	13-Apr-1990
35	Sloane	Stephens	United states	20-Mar-1993
36	Coco	Vandeweghe	United states	06-Dec-1991
37	Yaroslava	Shvedova	Kazakhstan	12-Sep-1987
38	Monica	Niculescu	Romania	25-Sep-1987
39	Alison	Riske	United states	03-Jul-1990
40	Misaki	Doi	Japan	29-Apr-1991
41	Alizé	Cornet	France	22-Jan-1990
42	Kristina	Mladenovic	France	14-May-1993
